market_id,ticker,slug,ric,signal_bin,signal_bin_id,signal_value,release_dt_ny,purchase_date,event_trading_date,n_days_observed,abnormal_return,window_name,start_day,end_day
1293498,DKNG,dkng-quarterly-earnings-nongaap-eps-02-12-2026-0pt4,DKNG.N,0.2-0.4,2,0.33,2026-02-12T21:15:01Z,2026-02-12,2026-02-13,2,-0.09626698618293182,"CAR[0,1]",0,1
1293498,DKNG,dkng-quarterly-earnings-nongaap-eps-02-12-2026-0pt4,DKNG.N,0.2-0.4,2,0.33,2026-02-12T21:15:01Z,2026-02-12,2026-02-13,4,-0.10085930480460023,"CAR[0,3]",0,3
1293498,DKNG,dkng-quarterly-earnings-nongaap-eps-02-12-2026-0pt4,DKNG.N,0.2-0.4,2,0.33,2026-02-12T21:15:01Z,2026-02-12,2026-02-13,6,-0.12529380727410017,"CAR[0,5]",0,5
1293905,H,h-quarterly-earnings-nongaap-eps-02-12-2026-0pt39,H,0.2-0.4,2,0.385,2026-02-12T11:55:00Z,2026-02-11,2026-02-12,11,0.05685648249126733,"CAR[-5,5]",-5,5
1293905,H,h-quarterly-earnings-nongaap-eps-02-12-2026-0pt39,H,0.2-0.4,2,0.385,2026-02-12T11:55:00Z,2026-02-11,2026-02-12,1,0.018555671324561884,AR[0],0,0
1293905,H,h-quarterly-earnings-nongaap-eps-02-12-2026-0pt39,H,0.2-0.4,2,0.385,2026-02-12T11:55:00Z,2026-02-11,2026-02-12,2,-0.004261677969268435,"CAR[0,1]",0,1
1293905,H,h-quarterly-earnings-nongaap-eps-02-12-2026-0pt39,H,0.2-0.4,2,0.385,2026-02-12T11:55:00Z,2026-02-11,2026-02-12,4,0.0034116014829481713,"CAR[0,3]",0,3
1293905,H,h-quarterly-earnings-nongaap-eps-02-12-2026-0pt39,H,0.2-0.4,2,0.385,2026-02-12T11:55:00Z,2026-02-11,2026-02-12,6,0.021247795224552366,"CAR[0,5]",0,5
1326547,CZR,czr-quarterly-earnings-gaap-eps-02-17-2026-neg0pt18,CZR.N,0.2-0.4,2,0.245,2026-02-17T21:01:00Z,2026-02-17,2026-02-18,11,0.04556161472580431,"CAR[-5,5]",-5,5
1326547,CZR,czr-quarterly-earnings-gaap-eps-02-17-2026-neg0pt18,CZR.N,0.2-0.4,2,0.245,2026-02-17T21:01:00Z,2026-02-17,2026-02-18,1,0.12649286526716955,AR[0],0,0
1326547,CZR,czr-quarterly-earnings-gaap-eps-02-17-2026-neg0pt18,CZR.N,0.2-0.4,2,0.245,2026-02-17T21:01:00Z,2026-02-17,2026-02-18,2,0.15430570351457207,"CAR[0,1]",0,1
1326547,CZR,czr-quarterly-earnings-gaap-eps-02-17-2026-neg0pt18,CZR.N,0.2-0.4,2,0.245,2026-02-17T21:01:00Z,2026-02-17,2026-02-18,4,0.08711685750810805,"CAR[0,3]",0,3
1326547,CZR,czr-quarterly-earnings-gaap-eps-02-17-2026-neg0pt18,CZR.N,0.2-0.4,2,0.245,2026-02-17T21:01:00Z,2026-02-17,2026-02-18,6,0.09467324827618494,"CAR[0,5]",0,5
1339469,DASH,dash-quarterly-earnings-gaap-eps-02-18-2026-0pt58,DASH.N,0.2-0.4,2,0.21,2026-02-18T21:05:00Z,2026-02-18,2026-02-19,11,1.6052620649835165e-4,"CAR[-5,5]",-5,5
1339469,DASH,dash-quarterly-earnings-gaap-eps-02-18-2026-0pt58,DASH.N,0.2-0.4,2,0.21,2026-02-18T21:05:00Z,2026-02-18,2026-02-19,1,0.01875373471214443,AR[0],0,0
1339469,DASH,dash-quarterly-earnings-gaap-eps-02-18-2026-0pt58,DASH.N,0.2-0.4,2,0.21,2026-02-18T21:05:00Z,2026-02-18,2026-02-19,2,0.010358679986272233,"CAR[0,1]",0,1
1339469,DASH,dash-quarterly-earnings-gaap-eps-02-18-2026-0pt58,DASH.N,0.2-0.4,2,0.21,2026-02-18T21:05:00Z,2026-02-18,2026-02-19,4,-0.05208776426434172,"CAR[0,3]",0,3
1339469,DASH,dash-quarterly-earnings-gaap-eps-02-18-2026-0pt58,DASH.N,0.2-0.4,2,0.21,2026-02-18T21:05:00Z,2026-02-18,2026-02-19,6,0.0409479538982713,"CAR[0,5]",0,5
1339770,TXRH,txrh-quarterly-earnings-gaap-eps-02-19-2026-1pt49,TXRH.N,0.2-0.4,2,0.25,2026-02-19T21:03:00Z,2026-02-19,2026-02-20,11,0.0072619036912884,"CAR[-5,5]",-5,5
1339770,TXRH,txrh-quarterly-earnings-gaap-eps-02-19-2026-1pt49,TXRH.N,0.2-0.4,2,0.25,2026-02-19T21:03:00Z,2026-02-19,2026-02-20,1,-0.02246477079890103,AR[0],0,0
1339770,TXRH,txrh-quarterly-earnings-gaap-eps-02-19-2026-1pt49,TXRH.N,0.2-0.4,2,0.25,2026-02-19T21:03:00Z,2026-02-19,2026-02-20,2,-0.024681931388570943,"CAR[0,1]",0,1
1339770,TXRH,txrh-quarterly-earnings-gaap-eps-02-19-2026-1pt49,TXRH.N,0.2-0.4,2,0.25,2026-02-19T21:03:00Z,2026-02-19,2026-02-20,4,-0.006213333275822547,"CAR[0,3]",0,3
1339770,TXRH,txrh-quarterly-earnings-gaap-eps-02-19-2026-1pt49,TXRH.N,0.2-0.4,2,0.25,2026-02-19T21:03:00Z,2026-02-19,2026-02-20,6,0.00503890095257583,"CAR[0,5]",0,5
1362677,CSGP,csgp-quarterly-earnings-gaap-eps-02-24-2026-0pt06,CSGP.N,0.2-0.4,2,0.395,2026-02-24T21:02:00Z,2026-02-24,2026-02-25,11,0.074861817802010025,"CAR[-5,5]",-5,5
1362677,CSGP,csgp-quarterly-earnings-gaap-eps-02-24-2026-0pt06,CSGP.N,0.2-0.4,2,0.395,2026-02-24T21:02:00Z,2026-02-24,2026-02-25,1,-0.09123541887854343,AR[0],0,0
