"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3","model_plot"
"Fractional probit","Mean loss | Full","log_turnover",0.0273410808102274,0.0161369517217001,1.69431509009602,0.0902054246091333,-0.00358537760029274,0.0594795945846513,"*","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Full",-0.00358537760029274,0.0594795945846513,25000,25000,-0.00428676338456638,0.0589689250050211,"Mean loss | Full"
"Fractional probit","Mean loss | Full","log_volatility_6m",-4.50009660948664,3.79023158707351,-1.18728803401727,0.235114026383462,-11.999903963134,2.70831446072814,"","log(6m stock volatility)","Mean loss across selected horizons","Full",-11.999903963134,2.70831446072814,25000,25000,-11.9288140132168,2.92862079424352,"Mean loss | Full"
"Fractional probit","Mean loss | Full","open_time_days",-0.0063682144816495,0.00838003422528657,-0.759927025409222,0.447298206267798,-0.0228525261922087,0.00928006529417785,"","Market open-to-resolution (days)","Mean loss across selected horizons","Full",-0.0228525261922087,0.00928006529417785,25000,25000,-0.0227927797524242,0.0100563507891252,"Mean loss | Full"
"Fractional probit","Loss at 6h | Ex-ante","eps_stddev",0.617407711394506,0.428987401942451,1.43922107875171,0.150087895027911,-0.227308262937191,1.4568760250572,"","Std. dev. of analyst estimates","Loss at 6h","Ex-ante",-0.227308262937191,1.4568760250572,25000,25000,-0.223392146234105,1.45820756902312,"Loss at 6h | Ex-ante"
"Fractional probit","Loss at 6h | Ex-ante","log_market_cap",-0.0639203309358782,0.0329700026144137,-1.93874206451939,0.0525327538568917,-0.130122420758838,0.000184292129300397,"*","log(Market cap)","Loss at 6h","Ex-ante",-0.130122420758838,0.000184292129300397,25000,25000,-0.12854034863032,0.000699686758564189,"Loss at 6h | Ex-ante"
"Fractional probit","Loss at 6h | Ex-ante","analysts",-0.000499011869039517,0.00463640052221958,-0.107629154696201,0.914289869218776,-0.00941432181007896,0.00853462932992667,"","Analysts covering","Loss at 6h","Ex-ante",-0.00941432181007896,0.00853462932992667,25000,25000,-0.00958618991049258,0.00858816617241355,"Loss at 6h | Ex-ante"
"Fractional probit","Loss at 6h | Ex-ante","log_turnover",0.0236872359636351,0.0166625268811475,1.42158726179974,0.155146104852395,-0.00933398516767562,0.0572814463170176,"","log(6m avg. daily turnover + 1)","Loss at 6h","Ex-ante",-0.00933398516767562,0.0572814463170176,25000,25000,-0.00897071661484461,0.0563451885421147,"Loss at 6h | Ex-ante"
"Fractional probit","Loss at 6h | Ex-ante","log_volatility_6m",-3.43238254262093,4.35572968977604,-0.788015507637575,0.430687635059194,-12.1736933126571,5.00970003324603,"","log(6m stock volatility)","Loss at 6h","Ex-ante",-12.1736933126571,5.00970003324603,25000,25000,-11.9694558609738,5.10469077573194,"Loss at 6h | Ex-ante"
"Fractional probit","Loss at 6h | Ex-ante","open_time_days",-0.00462617461632323,0.00931408884491714,-0.496685686957754,0.619410717312048,-0.0227984608875271,0.0131641821878078,"","Market open-to-resolution (days)","Loss at 6h","Ex-ante",-0.0227984608875271,0.0131641821878078,25000,25000,-0.0228814533011671,0.0136291040685206,"Loss at 6h | Ex-ante"
"Fractional probit","Loss at 6h | Full","log_volume",-0.0234521770108723,0.140782466842688,-0.166584501158643,0.867696989569119,-0.284410387479185,0.249941284473972,"","log(Polymarket volume + 1)","Loss at 6h","Full",-0.284410387479185,0.249941284473972,25000,25000,-0.299380741677244,0.2524763876555,"Loss at 6h | Full"
